# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_244	unplaced-scaffold	na	na	VCDJ01000244.1	<>	na	Primary Assembly	10749	na
scaffold_245	unplaced-scaffold	na	na	VCDJ01000245.1	<>	na	Primary Assembly	10697	na
scaffold_246	unplaced-scaffold	na	na	VCDJ01000246.1	<>	na	Primary Assembly	3851	na
scaffold_247	unplaced-scaffold	na	na	VCDJ01000247.1	<>	na	Primary Assembly	6640	na
scaffold_248	unplaced-scaffold	na	na	VCDJ01000248.1	<>	na	Primary Assembly	3086	na
scaffold_249	unplaced-scaffold	na	na	VCDJ01000249.1	<>	na	Primary Assembly	7661	na
scaffold_250	unplaced-scaffold	na	na	VCDJ01000250.1	<>	na	Primary Assembly	7640	na
scaffold_251	unplaced-scaffold	na	na	VCDJ01000251.1	<>	na	Primary Assembly	350	na
scaffold_252	unplaced-scaffold	na	na	VCDJ01000252.1	<>	na	Primary Assembly	1561	na
scaffold_253	unplaced-scaffold	na	na	VCDJ01000253.1	<>	na	Primary Assembly	3429	na
scaffold_254	unplaced-scaffold	na	na	VCDJ01000254.1	<>	na	Primary Assembly	7292	na
scaffold_255	unplaced-scaffold	na	na	VCDJ01000255.1	<>	na	Primary Assembly	10720	na
scaffold_256	unplaced-scaffold	na	na	VCDJ01000256.1	<>	na	Primary Assembly	10720	na
scaffold_257	unplaced-scaffold	na	na	VCDJ01000257.1	<>	na	Primary Assembly	10697	na
scaffold_258	unplaced-scaffold	na	na	VCDJ01000258.1	<>	na	Primary Assembly	6832	na
scaffold_259	unplaced-scaffold	na	na	VCDJ01000259.1	<>	na	Primary Assembly	3717	na
scaffold_260	unplaced-scaffold	na	na	VCDJ01000260.1	<>	na	Primary Assembly	502	na
scaffold_261	unplaced-scaffold	na	na	VCDJ01000261.1	<>	na	Primary Assembly	2273	na
scaffold_262	unplaced-scaffold	na	na	VCDJ01000262.1	<>	na	Primary Assembly	6169	na
scaffold_263	unplaced-scaffold	na	na	VCDJ01000263.1	<>	na	Primary Assembly	273	na
scaffold_264	unplaced-scaffold	na	na	VCDJ01000264.1	<>	na	Primary Assembly	291	na
scaffold_265	unplaced-scaffold	na	na	VCDJ01000265.1	<>	na	Primary Assembly	241	na
scaffold_266	unplaced-scaffold	na	na	VCDJ01000266.1	<>	na	Primary Assembly	3795	na
scaffold_267	unplaced-scaffold	na	na	VCDJ01000267.1	<>	na	Primary Assembly	820	na
scaffold_268	unplaced-scaffold	na	na	VCDJ01000268.1	<>	na	Primary Assembly	1057	na
scaffold_269	unplaced-scaffold	na	na	VCDJ01000269.1	<>	na	Primary Assembly	1070	na
scaffold_270	unplaced-scaffold	na	na	VCDJ01000270.1	<>	na	Primary Assembly	9605	na
scaffold_271	unplaced-scaffold	na	na	VCDJ01000271.1	<>	na	Primary Assembly	10494	na
scaffold_272	unplaced-scaffold	na	na	VCDJ01000272.1	<>	na	Primary Assembly	5352	na
scaffold_273	unplaced-scaffold	na	na	VCDJ01000273.1	<>	na	Primary Assembly	5291	na
scaffold_274	unplaced-scaffold	na	na	VCDJ01000274.1	<>	na	Primary Assembly	10641	na
scaffold_275	unplaced-scaffold	na	na	VCDJ01000275.1	<>	na	Primary Assembly	2285	na
scaffold_276	unplaced-scaffold	na	na	VCDJ01000276.1	<>	na	Primary Assembly	5970	na
scaffold_277	unplaced-scaffold	na	na	VCDJ01000277.1	<>	na	Primary Assembly	5525	na
scaffold_278	unplaced-scaffold	na	na	VCDJ01000278.1	<>	na	Primary Assembly	1661	na
scaffold_279	unplaced-scaffold	na	na	VCDJ01000279.1	<>	na	Primary Assembly	10628	na
scaffold_280	unplaced-scaffold	na	na	VCDJ01000280.1	<>	na	Primary Assembly	10361	na
scaffold_281	unplaced-scaffold	na	na	VCDJ01000281.1	<>	na	Primary Assembly	4917	na
scaffold_282	unplaced-scaffold	na	na	VCDJ01000282.1	<>	na	Primary Assembly	5691	na
scaffold_283	unplaced-scaffold	na	na	VCDJ01000283.1	<>	na	Primary Assembly	10601	na
scaffold_284	unplaced-scaffold	na	na	VCDJ01000284.1	<>	na	Primary Assembly	2303	na
scaffold_285	unplaced-scaffold	na	na	VCDJ01000285.1	<>	na	Primary Assembly	2146	na
scaffold_286	unplaced-scaffold	na	na	VCDJ01000286.1	<>	na	Primary Assembly	6240	na
scaffold_287	unplaced-scaffold	na	na	VCDJ01000287.1	<>	na	Primary Assembly	2109	na
scaffold_288	unplaced-scaffold	na	na	VCDJ01000288.1	<>	na	Primary Assembly	4340	na
scaffold_289	unplaced-scaffold	na	na	VCDJ01000289.1	<>	na	Primary Assembly	6229	na
scaffold_290	unplaced-scaffold	na	na	VCDJ01000290.1	<>	na	Primary Assembly	5190	na
scaffold_291	unplaced-scaffold	na	na	VCDJ01000291.1	<>	na	Primary Assembly	5364	na
scaffold_292	unplaced-scaffold	na	na	VCDJ01000292.1	<>	na	Primary Assembly	7106	na
scaffold_293	unplaced-scaffold	na	na	VCDJ01000293.1	<>	na	Primary Assembly	3013	na
scaffold_294	unplaced-scaffold	na	na	VCDJ01000294.1	<>	na	Primary Assembly	10526	na
scaffold_295	unplaced-scaffold	na	na	VCDJ01000295.1	<>	na	Primary Assembly	3302	na
scaffold_296	unplaced-scaffold	na	na	VCDJ01000296.1	<>	na	Primary Assembly	472	na
scaffold_297	unplaced-scaffold	na	na	VCDJ01000297.1	<>	na	Primary Assembly	660	na
scaffold_298	unplaced-scaffold	na	na	VCDJ01000298.1	<>	na	Primary Assembly	745	na
scaffold_299	unplaced-scaffold	na	na	VCDJ01000299.1	<>	na	Primary Assembly	4621	na
scaffold_300	unplaced-scaffold	na	na	VCDJ01000300.1	<>	na	Primary Assembly	382	na
scaffold_301	unplaced-scaffold	na	na	VCDJ01000301.1	<>	na	Primary Assembly	2229	na
scaffold_302	unplaced-scaffold	na	na	VCDJ01000302.1	<>	na	Primary Assembly	10501	na
scaffold_303	unplaced-scaffold	na	na	VCDJ01000303.1	<>	na	Primary Assembly	6179	na
scaffold_304	unplaced-scaffold	na	na	VCDJ01000304.1	<>	na	Primary Assembly	4308	na
scaffold_305	unplaced-scaffold	na	na	VCDJ01000305.1	<>	na	Primary Assembly	10311	na
scaffold_306	unplaced-scaffold	na	na	VCDJ01000306.1	<>	na	Primary Assembly	2999	na
scaffold_307	unplaced-scaffold	na	na	VCDJ01000307.1	<>	na	Primary Assembly	7433	na
scaffold_308	unplaced-scaffold	na	na	VCDJ01000308.1	<>	na	Primary Assembly	6031	na
scaffold_309	unplaced-scaffold	na	na	VCDJ01000309.1	<>	na	Primary Assembly	1186	na
scaffold_310	unplaced-scaffold	na	na	VCDJ01000310.1	<>	na	Primary Assembly	8783	na
scaffold_311	unplaced-scaffold	na	na	VCDJ01000311.1	<>	na	Primary Assembly	1609	na
scaffold_312	unplaced-scaffold	na	na	VCDJ01000312.1	<>	na	Primary Assembly	1325	na
scaffold_313	unplaced-scaffold	na	na	VCDJ01000313.1	<>	na	Primary Assembly	4618	na
scaffold_314	unplaced-scaffold	na	na	VCDJ01000314.1	<>	na	Primary Assembly	5847	na
scaffold_315	unplaced-scaffold	na	na	VCDJ01000315.1	<>	na	Primary Assembly	4919	na
scaffold_316	unplaced-scaffold	na	na	VCDJ01000316.1	<>	na	Primary Assembly	4225	na
scaffold_317	unplaced-scaffold	na	na	VCDJ01000317.1	<>	na	Primary Assembly	1309	na
scaffold_318	unplaced-scaffold	na	na	VCDJ01000318.1	<>	na	Primary Assembly	8331	na
scaffold_319	unplaced-scaffold	na	na	VCDJ01000319.1	<>	na	Primary Assembly	2063	na
scaffold_320	unplaced-scaffold	na	na	VCDJ01000320.1	<>	na	Primary Assembly	3616	na
scaffold_321	unplaced-scaffold	na	na	VCDJ01000321.1	<>	na	Primary Assembly	6466	na
scaffold_322	unplaced-scaffold	na	na	VCDJ01000322.1	<>	na	Primary Assembly	10236	na
scaffold_323	unplaced-scaffold	na	na	VCDJ01000323.1	<>	na	Primary Assembly	10374	na
scaffold_324	unplaced-scaffold	na	na	VCDJ01000324.1	<>	na	Primary Assembly	10367	na
scaffold_325	unplaced-scaffold	na	na	VCDJ01000325.1	<>	na	Primary Assembly	9163	na
scaffold_326	unplaced-scaffold	na	na	VCDJ01000326.1	<>	na	Primary Assembly	1003	na
scaffold_327	unplaced-scaffold	na	na	VCDJ01000327.1	<>	na	Primary Assembly	10329	na
scaffold_328	unplaced-scaffold	na	na	VCDJ01000328.1	<>	na	Primary Assembly	10299	na
scaffold_329	unplaced-scaffold	na	na	VCDJ01000329.1	<>	na	Primary Assembly	772	na
scaffold_330	unplaced-scaffold	na	na	VCDJ01000330.1	<>	na	Primary Assembly	3222	na
scaffold_331	unplaced-scaffold	na	na	VCDJ01000331.1	<>	na	Primary Assembly	2064	na
scaffold_332	unplaced-scaffold	na	na	VCDJ01000332.1	<>	na	Primary Assembly	5430	na
scaffold_333	unplaced-scaffold	na	na	VCDJ01000333.1	<>	na	Primary Assembly	3768	na
scaffold_334	unplaced-scaffold	na	na	VCDJ01000334.1	<>	na	Primary Assembly	1309	na
scaffold_335	unplaced-scaffold	na	na	VCDJ01000335.1	<>	na	Primary Assembly	5225	na
scaffold_336	unplaced-scaffold	na	na	VCDJ01000336.1	<>	na	Primary Assembly	5367	na
scaffold_337	unplaced-scaffold	na	na	VCDJ01000337.1	<>	na	Primary Assembly	2449	na
scaffold_338	unplaced-scaffold	na	na	VCDJ01000338.1	<>	na	Primary Assembly	2428	na
scaffold_339	unplaced-scaffold	na	na	VCDJ01000339.1	<>	na	Primary Assembly	7453	na
scaffold_340	unplaced-scaffold	na	na	VCDJ01000340.1	<>	na	Primary Assembly	2670	na
scaffold_341	unplaced-scaffold	na	na	VCDJ01000341.1	<>	na	Primary Assembly	10178	na
scaffold_342	unplaced-scaffold	na	na	VCDJ01000342.1	<>	na	Primary Assembly	4505	na
scaffold_343	unplaced-scaffold	na	na	VCDJ01000343.1	<>	na	Primary Assembly	5785	na
scaffold_344	unplaced-scaffold	na	na	VCDJ01000344.1	<>	na	Primary Assembly	10259	na
scaffold_345	unplaced-scaffold	na	na	VCDJ01000345.1	<>	na	Primary Assembly	3580	na
scaffold_346	unplaced-scaffold	na	na	VCDJ01000346.1	<>	na	Primary Assembly	6687	na
scaffold_347	unplaced-scaffold	na	na	VCDJ01000347.1	<>	na	Primary Assembly	10266	na
scaffold_348	unplaced-scaffold	na	na	VCDJ01000348.1	<>	na	Primary Assembly	10255	na
scaffold_349	unplaced-scaffold	na	na	VCDJ01000349.1	<>	na	Primary Assembly	247	na
scaffold_350	unplaced-scaffold	na	na	VCDJ01000350.1	<>	na	Primary Assembly	880	na
scaffold_351	unplaced-scaffold	na	na	VCDJ01000351.1	<>	na	Primary Assembly	319	na
scaffold_352	unplaced-scaffold	na	na	VCDJ01000352.1	<>	na	Primary Assembly	5175	na
scaffold_353	unplaced-scaffold	na	na	VCDJ01000353.1	<>	na	Primary Assembly	10187	na
scaffold_354	unplaced-scaffold	na	na	VCDJ01000354.1	<>	na	Primary Assembly	10224	na
scaffold_355	unplaced-scaffold	na	na	VCDJ01000355.1	<>	na	Primary Assembly	5552	na
scaffold_356	unplaced-scaffold	na	na	VCDJ01000356.1	<>	na	Primary Assembly	4654	na
scaffold_357	unplaced-scaffold	na	na	VCDJ01000357.1	<>	na	Primary Assembly	7642	na
scaffold_358	unplaced-scaffold	na	na	VCDJ01000358.1	<>	na	Primary Assembly	2175	na
scaffold_359	unplaced-scaffold	na	na	VCDJ01000359.1	<>	na	Primary Assembly	225	na
scaffold_360	unplaced-scaffold	na	na	VCDJ01000360.1	<>	na	Primary Assembly	2863	na
scaffold_361	unplaced-scaffold	na	na	VCDJ01000361.1	<>	na	Primary Assembly	1414	na
scaffold_362	unplaced-scaffold	na	na	VCDJ01000362.1	<>	na	Primary Assembly	6264	na
scaffold_363	unplaced-scaffold	na	na	VCDJ01000363.1	<>	na	Primary Assembly	3911	na
scaffold_364	unplaced-scaffold	na	na	VCDJ01000364.1	<>	na	Primary Assembly	10162	na
scaffold_365	unplaced-scaffold	na	na	VCDJ01000365.1	<>	na	Primary Assembly	726	na
scaffold_366	unplaced-scaffold	na	na	VCDJ01000366.1	<>	na	Primary Assembly	276	na
scaffold_367	unplaced-scaffold	na	na	VCDJ01000367.1	<>	na	Primary Assembly	5845	na
scaffold_368	unplaced-scaffold	na	na	VCDJ01000368.1	<>	na	Primary Assembly	10165	na
scaffold_369	unplaced-scaffold	na	na	VCDJ01000369.1	<>	na	Primary Assembly	1141	na
scaffold_370	unplaced-scaffold	na	na	VCDJ01000370.1	<>	na	Primary Assembly	9003	na
scaffold_371	unplaced-scaffold	na	na	VCDJ01000371.1	<>	na	Primary Assembly	8938	na
scaffold_372	unplaced-scaffold	na	na	VCDJ01000372.1	<>	na	Primary Assembly	1188	na
scaffold_373	unplaced-scaffold	na	na	VCDJ01000373.1	<>	na	Primary Assembly	5606	na
scaffold_374	unplaced-scaffold	na	na	VCDJ01000374.1	<>	na	Primary Assembly	4340	na
scaffold_375	unplaced-scaffold	na	na	VCDJ01000375.1	<>	na	Primary Assembly	10069	na
scaffold_376	unplaced-scaffold	na	na	VCDJ01000376.1	<>	na	Primary Assembly	10081	na
scaffold_377	unplaced-scaffold	na	na	VCDJ01000377.1	<>	na	Primary Assembly	7403	na
scaffold_378	unplaced-scaffold	na	na	VCDJ01000378.1	<>	na	Primary Assembly	2461	na
scaffold_379	unplaced-scaffold	na	na	VCDJ01000379.1	<>	na	Primary Assembly	10060	na
scaffold_380	unplaced-scaffold	na	na	VCDJ01000380.1	<>	na	Primary Assembly	10032	na
scaffold_381	unplaced-scaffold	na	na	VCDJ01000381.1	<>	na	Primary Assembly	10029	na
scaffold_382	unplaced-scaffold	na	na	VCDJ01000382.1	<>	na	Primary Assembly	728	na
scaffold_383	unplaced-scaffold	na	na	VCDJ01000383.1	<>	na	Primary Assembly	257	na
scaffold_384	unplaced-scaffold	na	na	VCDJ01000384.1	<>	na	Primary Assembly	8817	na
scaffold_385	unplaced-scaffold	na	na	VCDJ01000385.1	<>	na	Primary Assembly	3331	na
scaffold_386	unplaced-scaffold	na	na	VCDJ01000386.1	<>	na	Primary Assembly	6660	na
scaffold_387	unplaced-scaffold	na	na	VCDJ01000387.1	<>	na	Primary Assembly	9667	na
scaffold_388	unplaced-scaffold	na	na	VCDJ01000388.1	<>	na	Primary Assembly	4046	na
scaffold_389	unplaced-scaffold	na	na	VCDJ01000389.1	<>	na	Primary Assembly	5748	na
scaffold_390	unplaced-scaffold	na	na	VCDJ01000390.1	<>	na	Primary Assembly	1874	na
scaffold_391	unplaced-scaffold	na	na	VCDJ01000391.1	<>	na	Primary Assembly	1348	na
scaffold_392	unplaced-scaffold	na	na	VCDJ01000392.1	<>	na	Primary Assembly	1724	na
scaffold_393	unplaced-scaffold	na	na	VCDJ01000393.1	<>	na	Primary Assembly	5479	na
scaffold_394	unplaced-scaffold	na	na	VCDJ01000394.1	<>	na	Primary Assembly	4483	na
scaffold_395	unplaced-scaffold	na	na	VCDJ01000395.1	<>	na	Primary Assembly	887	na
scaffold_396	unplaced-scaffold	na	na	VCDJ01000396.1	<>	na	Primary Assembly	326	na
scaffold_397	unplaced-scaffold	na	na	VCDJ01000397.1	<>	na	Primary Assembly	1978	na
scaffold_398	unplaced-scaffold	na	na	VCDJ01000398.1	<>	na	Primary Assembly	9979	na
scaffold_399	unplaced-scaffold	na	na	VCDJ01000399.1	<>	na	Primary Assembly	6284	na
scaffold_400	unplaced-scaffold	na	na	VCDJ01000400.1	<>	na	Primary Assembly	1140	na
scaffold_401	unplaced-scaffold	na	na	VCDJ01000401.1	<>	na	Primary Assembly	211	na
scaffold_402	unplaced-scaffold	na	na	VCDJ01000402.1	<>	na	Primary Assembly	1017	na
scaffold_403	unplaced-scaffold	na	na	VCDJ01000403.1	<>	na	Primary Assembly	1067	na
scaffold_404	unplaced-scaffold	na	na	VCDJ01000404.1	<>	na	Primary Assembly	4484	na
scaffold_405	unplaced-scaffold	na	na	VCDJ01000405.1	<>	na	Primary Assembly	2440	na
scaffold_406	unplaced-scaffold	na	na	VCDJ01000406.1	<>	na	Primary Assembly	4627	na
scaffold_407	unplaced-scaffold	na	na	VCDJ01000407.1	<>	na	Primary Assembly	4674	na
scaffold_408	unplaced-scaffold	na	na	VCDJ01000408.1	<>	na	Primary Assembly	3610	na
scaffold_409	unplaced-scaffold	na	na	VCDJ01000409.1	<>	na	Primary Assembly	7459	na
scaffold_410	unplaced-scaffold	na	na	VCDJ01000410.1	<>	na	Primary Assembly	2389	na
scaffold_411	unplaced-scaffold	na	na	VCDJ01000411.1	<>	na	Primary Assembly	9889	na
scaffold_412	unplaced-scaffold	na	na	VCDJ01000412.1	<>	na	Primary Assembly	632	na
scaffold_413	unplaced-scaffold	na	na	VCDJ01000413.1	<>	na	Primary Assembly	2242	na
scaffold_414	unplaced-scaffold	na	na	VCDJ01000414.1	<>	na	Primary Assembly	1279	na
scaffold_415	unplaced-scaffold	na	na	VCDJ01000415.1	<>	na	Primary Assembly	372	na
scaffold_416	unplaced-scaffold	na	na	VCDJ01000416.1	<>	na	Primary Assembly	822	na
scaffold_417	unplaced-scaffold	na	na	VCDJ01000417.1	<>	na	Primary Assembly	5889	na
scaffold_418	unplaced-scaffold	na	na	VCDJ01000418.1	<>	na	Primary Assembly	1386	na
scaffold_419	unplaced-scaffold	na	na	VCDJ01000419.1	<>	na	Primary Assembly	9863	na
scaffold_420	unplaced-scaffold	na	na	VCDJ01000420.1	<>	na	Primary Assembly	9853	na
scaffold_421	unplaced-scaffold	na	na	VCDJ01000421.1	<>	na	Primary Assembly	9832	na
scaffold_422	unplaced-scaffold	na	na	VCDJ01000422.1	<>	na	Primary Assembly	9781	na
scaffold_423	unplaced-scaffold	na	na	VCDJ01000423.1	<>	na	Primary Assembly	272	na
scaffold_424	unplaced-scaffold	na	na	VCDJ01000424.1	<>	na	Primary Assembly	240	na
scaffold_425	unplaced-scaffold	na	na	VCDJ01000425.1	<>	na	Primary Assembly	544	na
scaffold_426	unplaced-scaffold	na	na	VCDJ01000426.1	<>	na	Primary Assembly	581	na
scaffold_427	unplaced-scaffold	na	na	VCDJ01000427.1	<>	na	Primary Assembly	3154	na
scaffold_428	unplaced-scaffold	na	na	VCDJ01000428.1	<>	na	Primary Assembly	1673	na
scaffold_429	unplaced-scaffold	na	na	VCDJ01000429.1	<>	na	Primary Assembly	416	na
scaffold_430	unplaced-scaffold	na	na	VCDJ01000430.1	<>	na	Primary Assembly	424	na
scaffold_431	unplaced-scaffold	na	na	VCDJ01000431.1	<>	na	Primary Assembly	381	na
scaffold_432	unplaced-scaffold	na	na	VCDJ01000432.1	<>	na	Primary Assembly	1163	na
scaffold_433	unplaced-scaffold	na	na	VCDJ01000433.1	<>	na	Primary Assembly	2559	na
scaffold_434	unplaced-scaffold	na	na	VCDJ01000434.1	<>	na	Primary Assembly	373	na
scaffold_435	unplaced-scaffold	na	na	VCDJ01000435.1	<>	na	Primary Assembly	529	na
scaffold_436	unplaced-scaffold	na	na	VCDJ01000436.1	<>	na	Primary Assembly	206	na
scaffold_437	unplaced-scaffold	na	na	VCDJ01000437.1	<>	na	Primary Assembly	706	na
scaffold_438	unplaced-scaffold	na	na	VCDJ01000438.1	<>	na	Primary Assembly	474	na
scaffold_439	unplaced-scaffold	na	na	VCDJ01000439.1	<>	na	Primary Assembly	9815	na
scaffold_440	unplaced-scaffold	na	na	VCDJ01000440.1	<>	na	Primary Assembly	3902	na
scaffold_441	unplaced-scaffold	na	na	VCDJ01000441.1	<>	na	Primary Assembly	2510	na
scaffold_442	unplaced-scaffold	na	na	VCDJ01000442.1	<>	na	Primary Assembly	3392	na
scaffold_443	unplaced-scaffold	na	na	VCDJ01000443.1	<>	na	Primary Assembly	1396	na
scaffold_444	unplaced-scaffold	na	na	VCDJ01000444.1	<>	na	Primary Assembly	1238	na
scaffold_445	unplaced-scaffold	na	na	VCDJ01000445.1	<>	na	Primary Assembly	1512	na
scaffold_446	unplaced-scaffold	na	na	VCDJ01000446.1	<>	na	Primary Assembly	6443	na
scaffold_447	unplaced-scaffold	na	na	VCDJ01000447.1	<>	na	Primary Assembly	2975	na
scaffold_448	unplaced-scaffold	na	na	VCDJ01000448.1	<>	na	Primary Assembly	375	na
scaffold_449	unplaced-scaffold	na	na	VCDJ01000449.1	<>	na	Primary Assembly	6271	na
scaffold_450	unplaced-scaffold	na	na	VCDJ01000450.1	<>	na	Primary Assembly	3525	na
scaffold_451	unplaced-scaffold	na	na	VCDJ01000451.1	<>	na	Primary Assembly	919	na
scaffold_452	unplaced-scaffold	na	na	VCDJ01000452.1	<>	na	Primary Assembly	8105	na
scaffold_453	unplaced-scaffold	na	na	VCDJ01000453.1	<>	na	Primary Assembly	3274	na
scaffold_454	unplaced-scaffold	na	na	VCDJ01000454.1	<>	na	Primary Assembly	4738	na
scaffold_455	unplaced-scaffold	na	na	VCDJ01000455.1	<>	na	Primary Assembly	1095	na
scaffold_456	unplaced-scaffold	na	na	VCDJ01000456.1	<>	na	Primary Assembly	9754	na
scaffold_457	unplaced-scaffold	na	na	VCDJ01000457.1	<>	na	Primary Assembly	1527	na
scaffold_458	unplaced-scaffold	na	na	VCDJ01000458.1	<>	na	Primary Assembly	2711	na
scaffold_459	unplaced-scaffold	na	na	VCDJ01000459.1	<>	na	Primary Assembly	537	na
scaffold_460	unplaced-scaffold	na	na	VCDJ01000460.1	<>	na	Primary Assembly	446	na
scaffold_461	unplaced-scaffold	na	na	VCDJ01000461.1	<>	na	Primary Assembly	8655	na
scaffold_462	unplaced-scaffold	na	na	VCDJ01000462.1	<>	na	Primary Assembly	5016	na
scaffold_463	unplaced-scaffold	na	na	VCDJ01000463.1	<>	na	Primary Assembly	1613	na
scaffold_464	unplaced-scaffold	na	na	VCDJ01000464.1	<>	na	Primary Assembly	4281	na
scaffold_465	unplaced-scaffold	na	na	VCDJ01000465.1	<>	na	Primary Assembly	4080	na
scaffold_466	unplaced-scaffold	na	na	VCDJ01000466.1	<>	na	Primary Assembly	7868	na
scaffold_467	unplaced-scaffold	na	na	VCDJ01000467.1	<>	na	Primary Assembly	1843	na
scaffold_468	unplaced-scaffold	na	na	VCDJ01000468.1	<>	na	Primary Assembly	2040	na
scaffold_469	unplaced-scaffold	na	na	VCDJ01000469.1	<>	na	Primary Assembly	3275	na
scaffold_470	unplaced-scaffold	na	na	VCDJ01000470.1	<>	na	Primary Assembly	807	na
scaffold_471	unplaced-scaffold	na	na	VCDJ01000471.1	<>	na	Primary Assembly	1338	na
scaffold_472	unplaced-scaffold	na	na	VCDJ01000472.1	<>	na	Primary Assembly	4659	na
scaffold_473	unplaced-scaffold	na	na	VCDJ01000473.1	<>	na	Primary Assembly	1722	na
scaffold_474	unplaced-scaffold	na	na	VCDJ01000474.1	<>	na	Primary Assembly	9688	na
scaffold_475	unplaced-scaffold	na	na	VCDJ01000475.1	<>	na	Primary Assembly	9691	na
scaffold_476	unplaced-scaffold	na	na	VCDJ01000476.1	<>	na	Primary Assembly	1572	na
scaffold_477	unplaced-scaffold	na	na	VCDJ01000477.1	<>	na	Primary Assembly	1237	na
scaffold_478	unplaced-scaffold	na	na	VCDJ01000478.1	<>	na	Primary Assembly	1516	na
scaffold_479	unplaced-scaffold	na	na	VCDJ01000479.1	<>	na	Primary Assembly	4969	na
scaffold_480	unplaced-scaffold	na	na	VCDJ01000480.1	<>	na	Primary Assembly	4706	na
scaffold_481	unplaced-scaffold	na	na	VCDJ01000481.1	<>	na	Primary Assembly	7517	na
scaffold_482	unplaced-scaffold	na	na	VCDJ01000482.1	<>	na	Primary Assembly	2126	na
scaffold_483	unplaced-scaffold	na	na	VCDJ01000483.1	<>	na	Primary Assembly	4347	na
scaffold_484	unplaced-scaffold	na	na	VCDJ01000484.1	<>	na	Primary Assembly	2111	na
scaffold_485	unplaced-scaffold	na	na	VCDJ01000485.1	<>	na	Primary Assembly	1135	na
scaffold_486	unplaced-scaffold	na	na	VCDJ01000486.1	<>	na	Primary Assembly	4077	na
scaffold_487	unplaced-scaffold	na	na	VCDJ01000487.1	<>	na	Primary Assembly	1613	na
scaffold_488	unplaced-scaffold	na	na	VCDJ01000488.1	<>	na	Primary Assembly	585	na
scaffold_489	unplaced-scaffold	na	na	VCDJ01000489.1	<>	na	Primary Assembly	1933	na
scaffold_490	unplaced-scaffold	na	na	VCDJ01000490.1	<>	na	Primary Assembly	7031	na
scaffold_491	unplaced-scaffold	na	na	VCDJ01000491.1	<>	na	Primary Assembly	9632	na
scaffold_492	unplaced-scaffold	na	na	VCDJ01000492.1	<>	na	Primary Assembly	386	na
scaffold_493	unplaced-scaffold	na	na	VCDJ01000493.1	<>	na	Primary Assembly	5032	na
scaffold_494	unplaced-scaffold	na	na	VCDJ01000494.1	<>	na	Primary Assembly	4165	na
scaffold_495	unplaced-scaffold	na	na	VCDJ01000495.1	<>	na	Primary Assembly	9615	na
scaffold_496	unplaced-scaffold	na	na	VCDJ01000496.1	<>	na	Primary Assembly	4629	na
scaffold_497	unplaced-scaffold	na	na	VCDJ01000497.1	<>	na	Primary Assembly	9636	na
scaffold_498	unplaced-scaffold	na	na	VCDJ01000498.1	<>	na	Primary Assembly	9634	na
scaffold_499	unplaced-scaffold	na	na	VCDJ01000499.1	<>	na	Primary Assembly	9413	na
scaffold_500	unplaced-scaffold	na	na	VCDJ01000500.1	<>	na	Primary Assembly	9626	na
scaffold_501	unplaced-scaffold	na	na	VCDJ01000501.1	<>	na	Primary Assembly	9624	na
scaffold_502	unplaced-scaffold	na	na	VCDJ01000502.1	<>	na	Primary Assembly	7604	na
scaffold_503	unplaced-scaffold	na	na	VCDJ01000503.1	<>	na	Primary Assembly	1729	na
scaffold_504	unplaced-scaffold	na	na	VCDJ01000504.1	<>	na	Primary Assembly	6723	na
scaffold_505	unplaced-scaffold	na	na	VCDJ01000505.1	<>	na	Primary Assembly	2842	na
scaffold_506	unplaced-scaffold	na	na	VCDJ01000506.1	<>	na	Primary Assembly	9548	na
scaffold_507	unplaced-scaffold	na	na	VCDJ01000507.1	<>	na	Primary Assembly	2165	na
scaffold_508	unplaced-scaffold	na	na	VCDJ01000508.1	<>	na	Primary Assembly	5033	na
scaffold_509	unplaced-scaffold	na	na	VCDJ01000509.1	<>	na	Primary Assembly	9559	na
scaffold_510	unplaced-scaffold	na	na	VCDJ01000510.1	<>	na	Primary Assembly	1084	na
scaffold_511	unplaced-scaffold	na	na	VCDJ01000511.1	<>	na	Primary Assembly	3312	na
scaffold_512	unplaced-scaffold	na	na	VCDJ01000512.1	<>	na	Primary Assembly	1164	na
